time,main_car_id,main_car_x,main_car_y,main_car_z,main_car_speed(km/h),main_car_pitch,main_car_yaw,main_car_roll,vice_car_L1_1_id,vice_car_L1_1_x,vice_car_L1_1_y,vice_car_L1_1_z,vice_car_L1_1_speed(km/h),vice_car_L1_1_pitch,vice_car_L1_1_yaw,vice_car_L1_1_roll,vice_car_L1_2_id,vice_car_L1_2_x,vice_car_L1_2_y,vice_car_L1_2_z,vice_car_L1_2_speed(km/h),vice_car_L1_2_pitch,vice_car_L1_2_yaw,vice_car_L1_2_roll,vice_car_L2_1_id,vice_car_L2_1_x,vice_car_L2_1_y,vice_car_L2_1_z,vice_car_L2_1_speed(km/h),vice_car_L2_1_pitch,vice_car_L2_1_yaw,vice_car_L2_1_roll,vice_car_L3_1_id,vice_car_L3_1_x,vice_car_L3_1_y,vice_car_L3_1_z,vice_car_L3_1_speed(km/h),vice_car_L3_1_pitch,vice_car_L3_1_yaw,vice_car_L3_1_roll
1715838798.786,1886,-792.6495971679688,-291.25,0.004718341864645481,59.98211766925214,0.00262279249727726,-0.00030517575214616954,0.0,1887,-772.970458984375,-294.75,0.0036961936857551336,59.49045867986434,-0.032532189041376114,0.0003272722533438355,6.557826964126434e-06,1888,-842.9584350585938,-294.7508239746094,0.00367704383097589,59.62583113706705,-0.030148454010486603,0.006131776608526707,-0.0005493163480423391,1889,-732.8717041015625,-291.25,0.0036840629763901234,59.61126022348879,-0.031036376953125,0.0001532677561044693,6.599265361728612e-06,1890,-772.8764038085938,-287.75,0.0036889456678181887,59.60345993061807,-0.03164426609873772,0.00019833359692711383,6.795388344471576e-06
1715838798.802,1886,-792.6495971679688,-291.25,0.004718341864645481,59.98211766925214,0.00262279249727726,-0.00030517575214616954,0.0,1887,-772.970458984375,-294.75,0.0036961936857551336,59.49045867986434,-0.032532189041376114,0.0003272722533438355,6.557826964126434e-06,1888,-842.9584350585938,-294.7508239746094,0.00367704383097589,59.62583113706705,-0.030148454010486603,0.006131776608526707,-0.0005493163480423391,1889,-732.8717041015625,-291.25,0.0036840629763901234,59.61126022348879,-0.031036376953125,0.0001532677561044693,6.599265361728612e-06,1890,-772.8764038085938,-287.75,0.0036889456678181887,59.60345993061807,-0.03164426609873772,0.00019833359692711383,6.795388344471576e-06
1715838798.814,1886,-792.2964477539062,-291.25,0.004665470216423273,59.965872397061894,0.00262279249727726,-0.00030517575214616954,0.0,1887,-772.6199340820312,-294.75,0.003702182788401842,59.568791199458666,-0.03326302021741867,0.00034124281955882907,7.677638677705545e-06,1888,-842.607421875,-294.7507629394531,0.0036637496668845415,59.60043209050815,-0.02850237861275673,0.005322890356183052,-0.0005187986535020173,1889,-732.5206298828125,-291.25,0.0036776731722056866,59.61714477551057,-0.030244076624512672,0.0001632509083719924,7.897692739788909e-06,1890,-772.5252685546875,-287.75,0.003685474395751953,59.62430648826295,-0.03119347244501114,0.0002093067450914532,7.943132004584186e-06
1715838798.837,1886,-791.8754272460938,-291.25,0.0046495054848492146,59.97924750849335,0.00262279249727726,-0.00030517575214616954,0.0,1887,-772.2015380859375,-294.75,0.0037006568163633347,59.61710357746915,-0.03307860344648361,0.00035592459607869387,8.839749170874711e-06,1888,-842.1893310546875,-294.7507019042969,0.003635406494140625,59.53376565728655,-0.024930188432335854,0.004570049699395895,-0.000457763671875,1889,-732.1023559570312,-291.25,0.003658027620986104,59.5833892823707,-0.027764717116951942,0.0001715351827442646,8.416539458266925e-06,1890,-772.1068725585938,-287.75,0.0036696242168545723,59.60649490382792,-0.029205886647105217,0.000219024223042652,8.562209586671088e-06
1715838798.85,1886,-791.5454711914062,-291.25,0.004638671875,59.98459636967222,0.00262279249727726,-0.00030517575214616954,0.0,1887,-771.8735961914062,-294.75,0.003690547775477171,59.61737823573709,-0.03180135786533356,0.00036499841371551156,9.085974852496292e-06,1888,-841.862060546875,-294.75067138671875,0.003605327568948269,59.46305487159122,-0.021173585206270218,0.004098066594451666,-0.00042724606464616954,1889,-731.7747192382812,-291.25,0.0036336707416921854,59.52941894547662,-0.024718454107642174,0.00017496295913588256,8.343447916558944e-06,1890,-771.7791137695312,-287.75,0.0036477851681411266,59.56053772002002,-0.026487471535801888,0.00022362523304764181,9.311143003287725e-06
1715838798.871,1886,-791.1997680664062,-291.25,0.004595584701746702,59.968316597889356,0.00262279249727726,-0.00030517575214616954,0.0,1887,-771.5300903320312,-294.75,0.0036727904807776213,59.58485870455232,-0.029602037742733955,0.0003719418018590659,9.91747401712928e-06,1888,-841.5195922851562,-294.75067138671875,0.003572063287720084,59.38166674711093,-0.017061810940504074,0.0036725776735693216,-0.000396728515625,1889,-731.4319458007812,-291.25,0.003604145022109151,59.455522155944664,-0.021030152216553688,0.0001761136663844809,8.187288585759234e-06,1890,-771.4360961914062,-287.75,0.0036198997404426336,59.49026641877836,-0.02298358455300331,0.00022584265389014035,8.932026503316592e-06
1715838798.888,1886,-791.1997680664062,-291.25,0.004595584701746702,59.968316597889356,0.00262279249727726,-0.00030517575214616954,0.0,1887,-771.5300903320312,-294.75,0.0036727904807776213,59.58485870455232,-0.029602037742733955,0.0003719418018590659,9.91747401712928e-06,1888,-841.5195922851562,-294.75067138671875,0.003572063287720084,59.38166674711093,-0.017061810940504074,0.0036725776735693216,-0.000396728515625,1889,-731.4319458007812,-291.25,0.003604145022109151,59.455522155944664,-0.021030152216553688,0.0001761136663844809,8.187288585759234e-06,1890,-771.4360961914062,-287.75,0.0036198997404426336,59.49026641877836,-0.02298358455300331,0.00022584265389014035,8.932026503316592e-06
1715838798.905,1886,-790.8463134765625,-291.25,0.004588184412568808,59.982605091763645,0.00262279249727726,-0.00030517575214616954,0.0,1887,-771.1792602539062,-294.75,0.0036462973803281784,59.52622604470074,-0.026268906891345978,0.00037603327655233443,9.840557140705641e-06,1888,-841.1700439453125,-294.75067138671875,0.0035357666201889515,59.29554766851914,-0.012547057121992111,0.0033528748899698257,-0.0003662109375,1889,-731.0819091796875,-291.25,0.0035691452212631702,59.368647766312854,-0.016658831387758255,0.00017468910664319992,7.636832378921099e-06,1890,-771.0858154296875,-287.75,0.0035854338202625513,59.403151703226634,-0.018707886338233948,0.0002253152197226882,8.479622920276597e-06
1715838798.928,1886,-790.5169067382812,-291.25,0.004577503073960543,59.98461009514567,0.00262279249727726,-0.00030517575214616954,0.0,1887,-770.8526611328125,-294.75,0.0036139488220214844,59.45478744611803,-0.022245924919843674,0.0003770217299461365,9.891782610793598e-06,1888,-840.8446655273438,-294.7506103515625,0.0035011100117117167,59.226093472524894,-0.008209886960685253,0.003165072062984109,-0.00033569333027116954,1889,-730.7562255859375,-291.25,0.003533229697495699,59.29081649801424,-0.012205547653138638,0.00017141876742243767,6.503418717329623e-06,1890,-770.760009765625,-287.75,0.0035487746354192495,59.32097396887053,-0.01413166057318449,0.00022259287652559578,7.829526111891028e-06
1715838798.953,1886,-789.8546142578125,-291.25,0.004528388846665621,59.968577464978054,0.00262279249727726,-0.00030517575214616954,0.0,1887,-770.1971435546875,-294.75,0.003542480291798711,59.292299653220695,-0.013366679660975933,0.0003726871800608933,8.665570021548774e-06,1888,-840.1912231445312,-294.7505798339844,0.003446826944127679,59.142068637735896,-0.0014684905763715506,0.0029571892227977514,-0.000274658203125,1889,-730.1024169921875,-291.25,0.0034697530791163445,59.168016815410404,-0.004303019028156996,0.00016225343279074878,5.957364010100719e-06,1890,-770.1060791015625,-287.75,0.0034807014744728804,59.17890701332536,-0.005675886757671833,0.00021352083422243595,6.691272574244067e-06
