ID,StorageTime,fvo|FrameNumber,fvo|TimeStamp,fvo|UserTimeStamp,fvo|FrameRate,fvo|HeadPosition_x,fvo|HeadPosition_y,fvo|HeadPosition_z,fvo|HeadHeading,fvo|HeadPitch,fvo|HeadRoll,fvo|GazeOrigin_x,fvo|GazeOrigin_y,fvo|GazeOrigin_z,fvo|EyePosition_x,fvo|EyePosition_y,fvo|EyePosition_z,fvo|GazeDirection_x,fvo|GazeDirection_y,fvo|GazeDirection_z,fvo|GazeDirectionQ,fvo|ClosestWorldIntersection_worldPoint_x,fvo|ClosestWorldIntersection_worldPoint_y,fvo|ClosestWorldIntersection_worldPoint_z,fvo|ClosestWorldIntersection_objectPoint_x,fvo|ClosestWorldIntersection_objectPoint_y,fvo|ClosestWorldIntersection_objectPoint_z,fvo|ClosestWorldIntersection_objectName,fvo|LeftEyelidOpening,fvo|RightEyelidOpening,fvo|LeftPupilDiameter,fvo|RightPupilDiameter,fvo|EstimatedGazeOrigin_x,fvo|EstimatedGazeOrigin_y,fvo|EstimatedGazeOrigin_z,fvo|EstimatedEyePosition_x,fvo|EstimatedEyePosition_y,fvo|EstimatedEyePosition_z,fvo|EstimatedGazeDirection_x,fvo|EstimatedGazeDirection_y,fvo|EstimatedGazeDirection_z,fvo|EstimatedGazeDirectionQ,fvo|ScreenPoint2D_x,fvo|ScreenPoint2D_y
126956,1.72E+16,215736,35952963870,0,60.02300882,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126957,1.72E+16,215737,35953129860,0,60.03672246,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126958,1.72E+16,215738,35953296894,0,60.04190925,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126959,1.72E+16,215739,35953463075,0,60.02282868,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126960,1.72E+16,215740,35953629536,0,60.03898531,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126961,1.72E+16,215741,35953796462,0,60.03003503,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126962,1.72E+16,215742,35953963123,0,60.0335988,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126963,1.72E+16,215743,35954129682,0,60.02368935,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126964,1.72E+16,215744,35954297374,0,60.0202068,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126965,1.72E+16,215745,35954462966,0,60.00072001,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126966,1.72E+16,215746,35954630266,0,60.00996165,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126967,1.72E+16,215747,35954795865,0,60.02973473,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126968,1.72E+16,215748,35954963543,0,60.0024601,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126969,1.72E+16,215749,35955128684,0,60.02843347,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126970,1.72E+16,215750,35955296135,0,60.04170897,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126971,1.72E+16,215751,35955461965,0,60.04198936,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126972,1.72E+16,215752,35955629256,0,60.03522066,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126973,1.72E+16,215753,35955795336,0,60.02118748,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126974,1.72E+16,215754,35955962256,0,60.03229738,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126975,1.72E+16,215755,35956128294,0,60.03133636,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126976,1.72E+16,215756,35956296498,0,60.00792105,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126977,1.72E+16,215757,35956461548,0,60.03055555,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126978,1.72E+16,215758,35956628412,0,60.02248843,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126979,1.72E+16,215759,35956795253,0,60.02418975,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126980,1.72E+16,215760,35956962077,0,60.0209273,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126981,1.72E+16,215761,35957128126,0,60.03113615,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126982,1.72E+16,215762,35957295566,0,60.03618181,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
